,top1_acc,top5_acc,top1_sigma,top5_sigma
0,0.56522,0.79066,0.0022169634710567,0.0018194326830086
1,0.8406199999999999,0.9687,0.0016369362577693,0.0007787208742546
2,0.84414,0.96976,0.0016221446322692,0.0007658399623942
3,0.83616,0.9665,0.0016552731158331,0.0008047080215829
4,0.8251999999999999,0.96146,0.0016984991021487,0.0008608677993745
5,0.74434,0.91972,0.0019508867952805,0.001215196458191
6,0.7713800000000001,0.9356,0.0018780463018786,0.0010977489694825
7,0.7559999999999999,0.92806,0.0019207498535728,0.0011555486696803
8,0.76896,0.9337,0.0018849961188288,0.0011126932191758
9,0.7769199999999999,0.93532,0.001861801888494,0.0010999681595391
10,0.78642,0.94186,0.0018328315994657,0.0010465155555461
11,0.79838,0.94934,0.0017942651732673,0.0009807503698699
12,0.80608,0.9531,0.0017681348002909,0.0009455198570098
13,0.8200799999999999,0.96054,0.0017178404675638,0.000870665359366
14,0.83384,0.96594,0.0016646372241422,0.0008111709610187
15,0.8344400000000001,0.96628,0.0016622267378429,0.0008072541309897
16,0.8400799999999999,0.96916,0.0016391802439024,0.0007731609715964
17,0.84122,0.96908,0.0016344351415703,0.0007741311723474
18,0.8580800000000001,0.97788,0.0015606326512027,0.0006577340739234
19,0.85112,0.97156,0.0015919468935865,0.0007433863921272
20,0.8422799999999999,0.96878,0.0016299963288302,0.0007777571806161
21,0.6977800000000001,0.8953,0.0020536945809929,0.0013692180980398
22,0.77294,0.9345,0.0018735194495921,0.0011064334593639
23,0.6773399999999999,0.8748999999999999,0.0020906961730485,0.0014795268838382
24,0.7118000000000001,0.90496,0.0020255407179318,0.0013115441159183
25,0.73456,0.9151,0.0019747486240025,0.0012465311067117
26,0.76506,0.93522,0.0018960126391983,0.0011007592979393
27,0.8370000000000001,0.96722,0.0016518535044004,0.0007963098844043
28,0.71878,0.90286,0.0020106482118958,0.001324415496738
29,0.72154,0.90822,0.0020045948638066,0.0012911733547436
30,0.74042,0.9134,0.0019606030888479,0.0012577793129162
31,0.75274,0.92566,0.0019293651411798,0.0011731458937404
32,0.6766800000000001,0.87402,0.0020918134601345,0.001483974660161
